Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
D37,SOD-323,41.31mm,64.83mm,B,180,BAT20JFILM,5,
D38,SOD-323,12.26mm,71.82mm,B,180,LOWLEAKAGE,5,4W
D39,SOD-323,12.26mm,73.41mm,B,0,LOWLEAKAGE,5,4W
D40,SOD-323,35.12mm,68.01mm,B,180,LOWLEAKAGE,5,
D41,SMA-DIODE,18.93mm,70.71mm,B,-90,TVSSMA,5,4W
D42,SMA-DIODE,23.53mm,73.56mm,B,-90,TVSSMA,5,4W
D43,SOD-323,35.12mm,69.59mm,B,0,LOWLEAKAGE,5,
D44,SOD-323,13.05mm,64.83mm,B,180,LOWLEAKAGE,5,4W
D45,SOD-323,13.05mm,66.42mm,B,0,LOWLEAKAGE,5,4W
D46,SOD-323,41.31mm,77.53mm,B,180,BAT20JFILM,6,
D47,SOD-323,12.26mm,84.52mm,B,180,LOWLEAKAGE,6,4W
D48,SOD-323,12.26mm,86.11mm,B,0,LOWLEAKAGE,6,4W
D49,SOD-323,35.12mm,80.71mm,B,180,LOWLEAKAGE,6,
D50,SMA-DIODE,18.93mm,83.41mm,B,-90,TVSSMA,6,4W
D51,SMA-DIODE,23.53mm,86.26mm,B,-90,TVSSMA,6,4W
D52,SOD-323,35.12mm,82.30mm,B,0,LOWLEAKAGE,6,
D53,SOD-323,13.05mm,77.53mm,B,180,LOWLEAKAGE,6,4W
D54,SOD-323,13.05mm,79.12mm,B,0,LOWLEAKAGE,6,4W
D55,SOD-323,41.31mm,90.23mm,B,180,BAT20JFILM,7,
D56,SOD-323,12.26mm,97.22mm,B,180,LOWLEAKAGE,7,4W
D57,SOD-323,12.26mm,98.81mm,B,0,LOWLEAKAGE,7,4W
D58,SOD-323,35.12mm,93.41mm,B,180,LOWLEAKAGE,7,
D59,SMA-DIODE,18.93mm,96.11mm,B,-90,TVSSMA,7,4W
D60,SMA-DIODE,23.53mm,98.96mm,B,-90,TVSSMA,7,4W
D61,SOD-323,35.12mm,95.00mm,B,0,LOWLEAKAGE,7,
D62,SOD-323,13.05mm,90.23mm,B,180,LOWLEAKAGE,7,4W
D63,SOD-323,13.05mm,91.82mm,B,0,LOWLEAKAGE,7,4W
D64,SOD-323,41.31mm,102.93mm,B,180,BAT20JFILM,8,
D65,SOD-323,12.26mm,109.92mm,B,180,LOWLEAKAGE,8,4W
D66,SOD-323,12.26mm,111.51mm,B,0,LOWLEAKAGE,8,4W
D67,SOD-323,35.12mm,106.11mm,B,180,LOWLEAKAGE,8,
D68,SMA-DIODE,18.93mm,108.81mm,B,-90,TVSSMA,8,4W
D69,SMA-DIODE,23.53mm,111.66mm,B,-90,TVSSMA,8,4W
D70,SOD-323,35.12mm,107.70mm,B,0,LOWLEAKAGE,8,
D71,SOD-323,13.05mm,102.93mm,B,180,LOWLEAKAGE,8,4W
D72,SOD-323,13.05mm,104.52mm,B,0,LOWLEAKAGE,8,4W
D73,SOD-323,41.31mm,115.63mm,B,180,BAT20JFILM,9,
D74,SOD-323,12.26mm,122.62mm,B,180,LOWLEAKAGE,9,4W
D75,SOD-323,12.26mm,124.21mm,B,0,LOWLEAKAGE,9,4W
D76,SOD-323,35.12mm,118.81mm,B,180,LOWLEAKAGE,9,
D77,SMA-DIODE,18.93mm,121.51mm,B,-90,TVSSMA,9,4W
D78,SMA-DIODE,23.53mm,124.36mm,B,-90,TVSSMA,9,4W
D79,SOD-323,35.12mm,120.40mm,B,0,LOWLEAKAGE,9,
D80,SOD-323,13.05mm,115.63mm,B,180,LOWLEAKAGE,9,4W
D81,SOD-323,13.05mm,117.22mm,B,0,LOWLEAKAGE,9,4W
D82,SOD-323,41.31mm,128.33mm,B,180,BAT20JFILM,10,
D83,SOD-323,12.26mm,135.32mm,B,180,LOWLEAKAGE,10,4W
D84,SOD-323,12.26mm,136.91mm,B,0,LOWLEAKAGE,10,4W
D85,SOD-323,35.12mm,131.51mm,B,180,LOWLEAKAGE,10,
D86,SMA-DIODE,18.93mm,134.21mm,B,-90,TVSSMA,10,4W
D87,SMA-DIODE,23.53mm,137.06mm,B,-90,TVSSMA,10,4W
D88,SOD-323,35.12mm,133.09mm,B,0,LOWLEAKAGE,10,
D89,SOD-323,13.05mm,128.33mm,B,180,LOWLEAKAGE,10,4W
D90,SOD-323,13.05mm,129.92mm,B,0,LOWLEAKAGE,10,4W
D91,SOD-323,41.31mm,141.03mm,B,180,BAT20JFILM,11,
D92,SOD-323,12.26mm,148.02mm,B,180,LOWLEAKAGE,11,4W
D93,SOD-323,12.26mm,149.61mm,B,0,LOWLEAKAGE,11,4W
D94,SOD-323,35.12mm,144.21mm,B,180,LOWLEAKAGE,11,
