Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
D44,SOD-323,-66.25mm,43.77mm,T,180,LOWLEAKAGE,5,4W
D45,SOD-323,-66.25mm,45.36mm,T,0,LOWLEAKAGE,5,4W
D46,SOD-323,-37.99mm,56.47mm,T,180,BAT20JFILM,6,
D47,SOD-323,-67.04mm,63.45mm,T,180,LOWLEAKAGE,6,4W
D48,SOD-323,-67.04mm,65.04mm,T,0,LOWLEAKAGE,6,4W
D49,SOD-323,-44.18mm,59.64mm,T,180,LOWLEAKAGE,6,
D50,SMA-DIODE,-60.37mm,62.34mm,T,-90,TVSSMA,6,4W
D51,SMA-DIODE,-55.77mm,65.20mm,T,-90,TVSSMA,6,4W
D52,SOD-323,-44.18mm,61.23mm,T,0,LOWLEAKAGE,6,
D53,SOD-323,-66.25mm,56.47mm,T,180,LOWLEAKAGE,6,4W
D54,SOD-323,-66.25mm,58.06mm,T,0,LOWLEAKAGE,6,4W
D55,SOD-323,-37.99mm,69.17mm,T,180,BAT20JFILM,7,
D56,SOD-323,-67.04mm,76.15mm,T,180,LOWLEAKAGE,7,4W
D57,SOD-323,-67.04mm,77.74mm,T,0,LOWLEAKAGE,7,4W
D58,SOD-323,-44.18mm,72.34mm,T,180,LOWLEAKAGE,7,
D59,SMA-DIODE,-60.37mm,75.04mm,T,-90,TVSSMA,7,4W
D60,SMA-DIODE,-55.77mm,77.90mm,T,-90,TVSSMA,7,4W
D61,SOD-323,-44.18mm,73.93mm,T,0,LOWLEAKAGE,7,
D62,SOD-323,-66.25mm,69.17mm,T,180,LOWLEAKAGE,7,4W
D63,SOD-323,-66.25mm,70.76mm,T,0,LOWLEAKAGE,7,4W
D64,SOD-323,-37.99mm,81.87mm,T,180,BAT20JFILM,8,
D65,SOD-323,-67.04mm,88.85mm,T,180,LOWLEAKAGE,8,4W
D66,SOD-323,-67.04mm,90.44mm,T,0,LOWLEAKAGE,8,4W
D67,SOD-323,-44.18mm,85.04mm,T,180,LOWLEAKAGE,8,
D68,SMA-DIODE,-60.37mm,87.74mm,T,-90,TVSSMA,8,4W
D69,SMA-DIODE,-55.77mm,90.60mm,T,-90,TVSSMA,8,4W
D70,SOD-323,-44.18mm,86.63mm,T,0,LOWLEAKAGE,8,
D71,SOD-323,-66.25mm,81.87mm,T,180,LOWLEAKAGE,8,4W
D72,SOD-323,-66.25mm,83.46mm,T,0,LOWLEAKAGE,8,4W
D73,SOD-323,-37.99mm,94.57mm,T,180,BAT20JFILM,9,
D74,SOD-323,-67.04mm,101.55mm,T,180,LOWLEAKAGE,9,4W
D75,SOD-323,-67.04mm,103.14mm,T,0,LOWLEAKAGE,9,4W
D76,SOD-323,-44.18mm,97.74mm,T,180,LOWLEAKAGE,9,
D77,SMA-DIODE,-60.37mm,100.44mm,T,-90,TVSSMA,9,4W
D78,SMA-DIODE,-55.77mm,103.30mm,T,-90,TVSSMA,9,4W
D79,SOD-323,-44.18mm,99.33mm,T,0,LOWLEAKAGE,9,
D80,SOD-323,-66.25mm,94.57mm,T,180,LOWLEAKAGE,9,4W
D81,SOD-323,-66.25mm,96.16mm,T,0,LOWLEAKAGE,9,4W
D82,SOD-323,-37.99mm,107.27mm,T,180,BAT20JFILM,10,
D83,SOD-323,-67.04mm,114.25mm,T,180,LOWLEAKAGE,10,4W
D84,SOD-323,-67.04mm,115.84mm,T,0,LOWLEAKAGE,10,4W
D85,SOD-323,-44.18mm,110.44mm,T,180,LOWLEAKAGE,10,
D86,SMA-DIODE,-60.37mm,113.14mm,T,-90,TVSSMA,10,4W
D87,SMA-DIODE,-55.77mm,116.00mm,T,-90,TVSSMA,10,4W
D88,SOD-323,-44.18mm,112.03mm,T,0,LOWLEAKAGE,10,
D89,SOD-323,-66.25mm,107.27mm,T,180,LOWLEAKAGE,10,4W
D90,SOD-323,-66.25mm,108.86mm,T,0,LOWLEAKAGE,10,4W
D91,SOD-323,-37.99mm,119.97mm,T,180,BAT20JFILM,11,
D92,SOD-323,-67.04mm,126.95mm,T,180,LOWLEAKAGE,11,4W
D93,SOD-323,-67.04mm,128.54mm,T,0,LOWLEAKAGE,11,4W
D94,SOD-323,-44.18mm,123.14mm,T,180,LOWLEAKAGE,11,
D95,SMA-DIODE,-60.37mm,125.84mm,T,-90,TVSSMA,11,4W
D96,SMA-DIODE,-55.77mm,128.70mm,T,-90,TVSSMA,11,4W
D97,SOD-323,-44.18mm,124.73mm,T,0,LOWLEAKAGE,11,
D98,SOD-323,-66.25mm,119.97mm,T,180,LOWLEAKAGE,11,4W
D99,SOD-323,-66.25mm,121.56mm,T,0,LOWLEAKAGE,11,4W
D100,SOD-323,-37.99mm,132.67mm,T,180,BAT20JFILM,12,
D101,SOD-323,-67.04mm,139.65mm,T,180,LOWLEAKAGE,12,4W
D102,SOD-323,-67.04mm,141.24mm,T,0,LOWLEAKAGE,12,4W
D103,SOD-323,-44.18mm,135.84mm,T,180,LOWLEAKAGE,12,
D104,SMA-DIODE,-60.37mm,138.54mm,T,-90,TVSSMA,12,4W
D105,SMA-DIODE,-55.77mm,141.40mm,T,-90,TVSSMA,12,4W
D106,SOD-323,-44.18mm,137.43mm,T,0,LOWLEAKAGE,12,
D107,SOD-323,-66.25mm,132.67mm,T,180,LOWLEAKAGE,12,4W
D108,SOD-323,-66.25mm,134.26mm,T,0,LOWLEAKAGE,12,4W
D109,SOD-323,-37.99mm,145.37mm,T,180,BAT20JFILM,13,
D110,SOD-323,-67.04mm,152.35mm,T,180,LOWLEAKAGE,13,4W
D111,SOD-323,-67.04mm,153.94mm,T,0,LOWLEAKAGE,13,4W
D112,SOD-323,-44.18mm,148.54mm,T,180,LOWLEAKAGE,13,
D113,SMA-DIODE,-60.37mm,151.24mm,T,-90,TVSSMA,13,4W
D114,SMA-DIODE,-55.77mm,154.10mm,T,-90,TVSSMA,13,4W
D115,SOD-323,-44.18mm,150.13mm,T,0,LOWLEAKAGE,13,
D116,SOD-323,-66.25mm,145.37mm,T,180,LOWLEAKAGE,13,4W
D117,SOD-323,-66.25mm,146.96mm,T,0,LOWLEAKAGE,13,4W
D118,SOD-323,-37.99mm,158.07mm,T,180,BAT20JFILM,14,
D119,SOD-323,-67.04mm,165.05mm,T,180,LOWLEAKAGE,14,4W
D120,SOD-323,-67.04mm,166.64mm,T,0,LOWLEAKAGE,14,4W
D121,SOD-323,-44.18mm,161.24mm,T,180,LOWLEAKAGE,14,
D122,SMA-DIODE,-60.37mm,163.94mm,T,-90,TVSSMA,14,4W
D123,SMA-DIODE,-55.77mm,166.80mm,T,-90,TVSSMA,14,4W
D124,SOD-323,-44.18mm,162.83mm,T,0,LOWLEAKAGE,14,
D125,SOD-323,-66.25mm,158.07mm,T,180,LOWLEAKAGE,14,4W
D126,SOD-323,-66.25mm,159.66mm,T,0,LOWLEAKAGE,14,4W
D127,SOD-323,-37.99mm,170.77mm,T,180,BAT20JFILM,15,
D128,SOD-323,-67.04mm,177.75mm,T,180,LOWLEAKAGE,15,4W
D129,SOD-323,-67.04mm,179.34mm,T,0,LOWLEAKAGE,15,4W
D130,SOD-323,-44.18mm,173.94mm,T,180,LOWLEAKAGE,15,
D131,SMA-DIODE,-60.37mm,176.64mm,T,-90,TVSSMA,15,4W
D132,SMA-DIODE,-55.77mm,179.50mm,T,-90,TVSSMA,15,4W
D133,SOD-323,-44.18mm,175.53mm,T,0,LOWLEAKAGE,15,
D134,SOD-323,-66.25mm,170.77mm,T,180,LOWLEAKAGE,15,4W
D135,SOD-323,-66.25mm,172.36mm,T,0,LOWLEAKAGE,15,4W
D136,SOD-323,-37.99mm,183.47mm,T,180,BAT20JFILM,16,
D137,SOD-323,-67.04mm,190.45mm,T,180,LOWLEAKAGE,16,4W
